,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
183,183.0,183.0,183.0,5/25/1995,9.11,9.11,9.11,9.11,-0.33%
184,184.0,184.0,184.0,5/26/1995,9.15,9.15,9.15,9.15,0.44%
185,185.0,185.0,185.0,5/29/1995,9.14,9.14,9.14,9.14,-0.11%
186,186.0,186.0,186.0,5/30/1995,9.1,9.1,9.1,9.1,-0.44%
187,187.0,187.0,187.0,5/31/1995,9.04,9.04,9.04,9.04,-0.66%
188,188.0,188.0,188.0,6/1/1995,8.98,8.98,8.98,8.98,-0.66%
189,189.0,189.0,189.0,6/2/1995,8.91,8.91,8.91,8.91,-0.78%
190,190.0,190.0,190.0,6/6/1995,8.78,8.78,8.78,8.78,-1.46%
191,191.0,191.0,191.0,6/12/1995,8.92,8.92,8.92,8.92,1.59%
192,192.0,192.0,192.0,6/13/1995,8.85,8.85,8.85,8.85,-0.78%
193,193.0,193.0,193.0,6/14/1995,8.84,8.84,8.84,8.84,-0.11%
194,194.0,194.0,194.0,6/15/1995,8.88,8.88,8.88,8.88,0.45%
195,195.0,195.0,195.0,6/16/1995,8.9,8.9,8.9,8.9,0.23%
196,196.0,196.0,196.0,6/19/1995,8.91,8.91,8.91,8.91,0.11%
197,197.0,197.0,197.0,6/20/1995,8.91,8.91,8.91,8.91,0.00%
198,198.0,198.0,198.0,6/21/1995,8.9,8.9,8.9,8.9,-0.11%
199,199.0,199.0,199.0,6/22/1995,8.89,8.89,8.89,8.89,-0.11%
200,200.0,200.0,200.0,6/23/1995,8.92,8.92,8.92,8.92,0.34%
201,201.0,201.0,201.0,6/26/1995,8.98,8.98,8.98,8.98,0.67%
202,202.0,202.0,202.0,6/27/1995,8.96,8.96,8.96,8.96,-0.22%
203,203.0,203.0,203.0,6/28/1995,8.98,8.98,8.98,8.98,0.22%
204,204.0,204.0,204.0,6/30/1995,9.0,9.0,9.0,9.0,0.22%
205,205.0,205.0,205.0,7/3/1995,8.98,8.98,8.98,8.98,-0.22%
206,206.0,206.0,206.0,7/5/1995,8.95,8.95,8.95,8.95,-0.33%
207,207.0,207.0,207.0,7/6/1995,8.99,8.99,8.99,8.99,0.45%
208,208.0,208.0,208.0,7/7/1995,8.89,8.89,8.89,8.89,-1.11%
209,209.0,209.0,209.0,7/10/1995,8.71,8.71,8.71,8.71,-2.02%
210,210.0,210.0,210.0,7/11/1995,8.63,8.63,8.63,8.63,-0.92%
211,211.0,211.0,211.0,7/12/1995,8.63,8.63,8.63,8.63,0.00%
212,212.0,212.0,212.0,7/13/1995,8.64,8.64,8.64,8.64,0.12%
213,213.0,213.0,213.0,7/14/1995,8.63,8.63,8.63,8.63,-0.12%
214,214.0,214.0,214.0,7/17/1995,8.6,8.6,8.6,8.6,-0.35%
215,215.0,215.0,215.0,7/18/1995,8.47,8.47,8.47,8.47,-1.51%
216,216.0,216.0,216.0,7/19/1995,8.55,8.55,8.55,8.55,0.94%
217,217.0,217.0,217.0,7/20/1995,8.56,8.56,8.56,8.56,0.12%
218,218.0,218.0,218.0,7/24/1995,8.61,8.61,8.61,8.61,0.58%
219,219.0,219.0,219.0,7/25/1995,8.6,8.6,8.6,8.6,-0.12%
220,220.0,220.0,220.0,7/26/1995,8.62,8.62,8.62,8.62,0.23%
221,221.0,221.0,221.0,7/27/1995,8.67,8.67,8.67,8.67,0.58%
222,222.0,222.0,222.0,7/28/1995,8.84,8.84,8.84,8.84,1.96%
223,223.0,223.0,223.0,7/31/1995,8.79,8.79,8.79,8.79,-0.57%
224,224.0,224.0,224.0,8/1/1995,8.71,8.71,8.71,8.71,-0.91%
225,225.0,225.0,225.0,8/2/1995,8.69,8.69,8.69,8.69,-0.23%
226,226.0,226.0,226.0,8/3/1995,8.7,8.7,8.7,8.7,0.12%
227,227.0,227.0,227.0,8/4/1995,8.72,8.72,8.72,8.72,0.23%
228,228.0,228.0,228.0,8/7/1995,8.75,8.75,8.75,8.75,0.34%
229,229.0,229.0,229.0,8/9/1995,8.86,8.86,8.86,8.86,1.26%
230,230.0,230.0,230.0,8/10/1995,8.86,8.86,8.86,8.86,0.00%
231,231.0,231.0,231.0,8/11/1995,8.89,8.89,8.89,8.89,0.34%
232,232.0,232.0,232.0,8/14/1995,8.8,8.8,8.8,8.8,-1.01%
233,233.0,233.0,233.0,8/15/1995,8.81,8.81,8.81,8.81,0.11%
234,234.0,234.0,234.0,8/16/1995,8.71,8.71,8.71,8.71,-1.14%
235,235.0,235.0,235.0,8/17/1995,8.78,8.78,8.78,8.78,0.80%
236,236.0,236.0,236.0,8/18/1995,8.84,8.84,8.84,8.84,0.68%
237,237.0,237.0,237.0,8/21/1995,8.84,8.84,8.84,8.84,0.00%
238,238.0,238.0,238.0,8/22/1995,8.86,8.86,8.86,8.86,0.23%
239,239.0,239.0,239.0,8/23/1995,8.98,8.98,8.98,8.98,1.35%
240,240.0,240.0,240.0,8/24/1995,9.03,9.03,9.03,9.03,0.56%
241,241.0,241.0,241.0,8/25/1995,9.1,9.1,9.1,9.1,0.78%
242,242.0,242.0,242.0,8/29/1995,9.06,9.06,9.06,9.06,-0.44%
243,243.0,243.0,243.0,8/30/1995,9.15,9.15,9.15,9.15,0.99%
244,244.0,244.0,244.0,8/31/1995,9.16,9.16,9.16,9.16,0.11%
245,245.0,245.0,245.0,9/1/1995,9.1,9.1,9.1,9.1,-0.66%
246,246.0,246.0,246.0,9/4/1995,9.1,9.1,9.1,9.1,0.00%
247,247.0,247.0,247.0,9/5/1995,9.17,9.17,9.17,9.17,0.77%
248,248.0,248.0,248.0,9/6/1995,9.2,9.2,9.2,9.2,0.33%
249,249.0,249.0,249.0,9/7/1995,9.18,9.18,9.18,9.18,-0.22%
250,250.0,250.0,250.0,9/8/1995,9.18,9.18,9.18,9.18,0.00%
251,251.0,251.0,251.0,9/11/1995,9.14,9.14,9.14,9.14,-0.44%
252,252.0,252.0,252.0,9/12/1995,9.08,9.08,9.08,9.08,-0.66%
253,253.0,253.0,253.0,9/13/1995,8.98,8.98,8.98,8.98,-1.10%
254,254.0,254.0,254.0,9/14/1995,9.03,9.03,9.03,9.03,0.56%
255,255.0,255.0,255.0,9/15/1995,9.04,9.04,9.04,9.04,0.11%
256,256.0,256.0,256.0,9/18/1995,9.06,9.06,9.06,9.06,0.22%
257,257.0,257.0,257.0,9/19/1995,9.02,9.02,9.02,9.02,-0.44%
258,258.0,258.0,258.0,9/20/1995,8.97,8.97,8.97,8.97,-0.55%
259,259.0,259.0,259.0,9/21/1995,8.96,8.96,8.96,8.96,-0.11%
260,260.0,260.0,260.0,9/22/1995,9.0,9.0,9.0,9.0,0.45%
261,261.0,261.0,261.0,9/25/1995,9.04,9.04,9.04,9.04,0.44%
262,262.0,262.0,262.0,9/26/1995,9.03,9.03,9.03,9.03,-0.11%
263,263.0,263.0,263.0,9/27/1995,9.05,9.05,9.05,9.05,0.22%
264,264.0,264.0,264.0,9/28/1995,9.05,9.05,9.05,9.05,0.00%
265,265.0,265.0,265.0,9/29/1995,9.04,9.04,9.04,9.04,-0.11%
266,266.0,266.0,266.0,10/2/1995,8.98,8.98,8.98,8.98,-0.66%
267,267.0,267.0,267.0,10/3/1995,8.97,8.97,8.97,8.97,-0.11%
268,268.0,268.0,268.0,10/4/1995,8.91,8.91,8.91,8.91,-0.67%
269,269.0,269.0,269.0,10/5/1995,8.89,8.89,8.89,8.89,-0.22%
270,270.0,270.0,270.0,10/6/1995,8.89,8.89,8.89,8.89,0.00%
271,271.0,271.0,271.0,10/9/1995,8.8,8.8,8.8,8.8,-1.01%
272,272.0,272.0,272.0,10/11/1995,8.73,8.73,8.73,8.73,-0.80%
273,273.0,273.0,273.0,10/12/1995,8.74,8.74,8.74,8.74,0.11%
274,274.0,274.0,274.0,10/13/1995,8.7,8.7,8.7,8.7,-0.46%
275,275.0,275.0,275.0,10/16/1995,8.58,8.58,8.58,8.58,-1.38%
276,276.0,276.0,276.0,10/17/1995,8.51,8.51,8.51,8.51,-0.82%
277,277.0,277.0,277.0,10/19/1995,8.26,8.26,8.26,8.26,-2.94%
