,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %,0,1,2,3,4,5,6,0.1,1.1,2.1,3.1,4.1,5.1,6.1,0.2,1.2,2.2,3.2,4.2,5.2,6.2,0,1,2,3,4,5,6
78,78.0,78.0,78.0,78.0,4/24/1990,14.7,14.7,14.7,14.7,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79.0,79.0,79.0,79.0,4/25/1990,14.71,14.71,14.71,14.71,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80.0,80.0,80.0,80.0,4/26/1990,14.72,14.72,14.72,14.72,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81.0,81.0,81.0,81.0,4/27/1990,14.72,14.72,14.72,14.72,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82.0,82.0,82.0,82.0,4/30/1990,14.73,14.73,14.73,14.73,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83.0,83.0,83.0,83.0,5/1/1990,14.7,14.7,14.7,14.7,-0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84.0,84.0,84.0,84.0,5/2/1990,14.73,14.73,14.73,14.73,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85.0,85.0,85.0,85.0,5/3/1990,14.71,14.71,14.71,14.71,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86.0,86.0,86.0,86.0,5/4/1990,14.74,14.74,14.74,14.74,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87.0,87.0,87.0,87.0,5/8/1990,14.72,14.72,14.72,14.72,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88.0,88.0,88.0,88.0,5/9/1990,14.71,14.71,14.71,14.71,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89.0,89.0,89.0,89.0,5/10/1990,14.71,14.71,14.71,14.71,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90.0,90.0,90.0,90.0,5/11/1990,14.67,14.67,14.67,14.67,-0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91.0,91.0,91.0,91.0,5/14/1990,14.68,14.68,14.68,14.68,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92.0,92.0,92.0,92.0,5/15/1990,14.68,14.68,14.68,14.68,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93.0,93.0,93.0,93.0,5/16/1990,14.65,14.65,14.65,14.65,-0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94.0,94.0,94.0,94.0,5/17/1990,14.67,14.67,14.67,14.67,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95.0,95.0,95.0,95.0,5/18/1990,14.7,14.7,14.7,14.7,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96.0,96.0,96.0,96.0,5/21/1990,14.67,14.67,14.67,14.67,-0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97.0,97.0,97.0,97.0,5/22/1990,14.67,14.67,14.67,14.67,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98.0,98.0,98.0,98.0,5/23/1990,14.68,14.68,14.68,14.68,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99.0,99.0,99.0,99.0,5/24/1990,14.71,14.71,14.71,14.71,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100.0,100.0,100.0,100.0,5/25/1990,14.67,14.67,14.67,14.67,-0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101.0,101.0,101.0,101.0,5/29/1990,14.67,14.67,14.67,14.67,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102.0,102.0,102.0,102.0,5/30/1990,14.7,14.7,14.7,14.7,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103.0,103.0,103.0,103.0,5/31/1990,14.72,14.72,14.72,14.72,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104.0,104.0,104.0,104.0,6/1/1990,14.68,14.68,14.68,14.68,-0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105.0,105.0,105.0,105.0,6/4/1990,14.7,14.7,14.7,14.7,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
